Provincia,Fecha,Banda ancha fija,Dial up,Total,latitud,longitud
Capital Federal,2022-12-06,2,2,4,,
Capital Federal,2022-12-07,2,2,4,,
Capital Federal,2022-12-08,2,2,4,,
Capital Federal,2022-12-09,2,2,4,,
Capital Federal,2022-12-10,2,2,4,,
Capital Federal,2022-12-11,2,2,4,,
Capital Federal,2022-12-12,2,2,4,,
Capital Federal,2022-12-13,2,2,4,,
Capital Federal,2022-12-14,2,2,4,,
Capital Federal,2022-12-15,2,2,4,,
Capital Federal,2022-12-16,2,2,4,,
Capital Federal,2022-12-17,2,2,4,,
Capital Federal,2022-12-18,2,2,4,,
Capital Federal,2022-12-19,2,2,4,,
Capital Federal,2022-12-20,2,2,4,,
Capital Federal,2022-12-21,2,2,4,,
Capital Federal,2022-12-22,2,2,4,,
Capital Federal,2022-12-23,2,2,4,,
Capital Federal,2022-12-24,2,2,4,,
Capital Federal,2022-12-25,2,2,4,,
Capital Federal,2022-12-26,2,2,4,,
Capital Federal,2022-12-27,2,2,4,,
Capital Federal,2022-12-28,2,2,4,,
Capital Federal,2022-12-29,2,2,4,,
Capital Federal,2022-12-30,2,2,4,,
Capital Federal,2022-12-31,2,2,4,,
Catamarca,2022-10-01,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-10-02,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-10-03,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-10-04,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-10-05,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-10-06,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-10-07,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-10-08,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-10-09,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-10-10,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-10-11,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-10-12,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-10-13,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-10-14,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-10-15,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-10-16,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-10-17,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-10-18,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-10-19,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-10-20,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-10-21,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-10-22,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-10-23,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-10-24,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-10-25,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-10-26,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-10-27,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-10-28,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-10-29,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-10-30,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-10-31,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-11-01,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-11-02,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-11-03,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-11-04,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-11-05,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-11-06,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-11-07,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-11-08,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-11-09,71,1,72,-27.3358332810217,-66.9476824299928
Catamarca,2022-11-10,71,1,72,-27.3358332810217,-66.9476824299928
